modalidad_de_contratacion,Numero_Contratos,Valor_Promedio,Inversion_Total,Mediana_Aproximada
CONTRATACIÓN DIRECTA,3862356,0.0,0.0,0.0
LICITACIÓN PÚBLICA,56470,2875074751.56515,162355471220884.0,176721485.0
