Categoría duración,SANTANDER,ANTIOQUIA,ATLÁNTICO,CUNDINAMARCA,BOYACÁ,VALLE DEL CAUCA,DISTRITO CAPITAL DE BOGOTÁ,CESAR,NO DEFINIDO,SUCRE
Corto,63084927.005099565,905291479695.35,634049566365.7864,1406589181.8591406,4861722840599.426,2054798495322.88,228968794258.45975,198299680.45610118,467081216173.1902,62062614.32
Mediano,151267477259183.38,8050242615563.639,14857521155213.725,3663855153753.505,1031028331.7264578,361476599050.1642,65873335813.57426,1897190952505.03,395839186961.8136,1848380665579.019
Largo,8663150717.930304,13821478003.016598,16252849858.975904,10975016325.547256,4132688728.0994477,9023060656.191965,7253210093.737791,26343981174.989475,2324886131.5645757,7207330371.77027
